unit_id,unit_name,floor,building,status,description,images,created_at
5,106,الأرضي,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
6,107,الأرضي,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
7,201,الأول,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
8,202,الأول,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
9,203,الأول,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
10,204,الأول,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
11,205,الأول,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
12,206,الأول,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
13,207,الأول,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
14,301,الثاني,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
15,302,الثاني,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
16,303,الثاني,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
17,304,الثاني,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
18,305,الثاني,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
19,306,الثاني,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
20,307,الثاني,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
21,401,الثالث,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
22,402,الثالث,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
23,403,الثالث,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
24,الروف,الرابع,شقق الصرح المخدومة,متاح,غرفة مؤثثة ,,2024-12-17 20:26
